Discover Battery AES 7.4kWhr / 48VDC with Xanbus Lithium (LFP) Battery,6478,LFP,192,3617,6.65,14.4,98,7.4,7200,100
Electriq PowerPod 2,13000,LFP,346,12375,7.6,9,96.6,10,4000,100
PHI 1310 12V,2100,LFP,32.65,650.39,0.48,0.768,98,1.31,10000,100
PHI 3.4 24V,2600,LFP,86,1512,1.9,2.05,98,1.5,10000,100
SimpliPhi Power : Big Genny,2498,Lithium-Ion,45,2772,1.15,1.3,90,1.24,5000,100
SimpliPhi Power : Little Genny,1095,Lithium-Ion,19,1052.22,0.37,0.6,90,0.322,5000,100
SimpliPhi Power : AccESS,25000,Lithium-Ion,565,28672,10.2,12,90,19,10000,100
Tesla Powerwall+,8500,NMC,344,11751,7,10,90,13.5,3600,50
GS Battery: SLX250-12,7500,Lead Acid,165.35,1774.83,3,9,90,3,3000,50
GS Battery: SLR1000-2,8000,Lead Acid,147.71,1359.86,2,2.174,90,2,3000,50
Deka Solar 8GCC2 6V 198,368,SGLA,68,793,0.033,0.143,82.5,1.18,2800,50
Trojan L-16 -SPRE 6V 415,492,FLA,118,1420,0.1065,0.2065,82.5,2.5,3000,50
Crown CR430 6V Flooded L16 Battery,332,FLA,122,1361,3.15,3.25,80,3.15,3000,50
Fullriver 903 L16 6V 400Ah Deep Cycle AGM Sealed Lead Acid Battery DC400-6,600,Lead Acid,123.5,1384,0.15,0.75,95,2.49,5000,50
Aspen 48M-25.9,14799,Flow,3315,94848,8,11.7,92,25.9,3000,50
Aspen 48S-2.2,1179,Flow,260,5836.48,2.2,1,92,2.2,3000,50
Aspen 24S-83,1195,Flow,260,5836.48,2.17,0.75,92,2.17,3000,50
GNB ABSOLYTE GP 3-100G19 AGM BATTERY 6V 1020 AH AT 20HR,1772,SGLA,328,4485,6.6,6.7,80,3.6,1200,50
Eguana Technologies Evolve-39,11000,Lithium-Ion,145,10875,5,8.5,94.5,13,6000,50
Panasonic EVDC-105 - Standard,15880,Lithium-Ion,106,15179,4.6,7.5,90,11.4,10000,50
Enphase IQ Battery,15000,LFP,341,13832,3.84,5.7,89,10.08,4000,100
Generac PWRcell,13000,Lithium-Ion,111,14960,5.6,6.7,96.5,18,2649,50
LG Chem RESU 16H Prime,7000,NMC,99.8,8480,5,7,97.5,16,8000,50
SunPower SunVault,15000,Lithium-Ion,200,24750,6.8,6.9,97,26,8000,50
